14:19:20 Loaded 1225 samples
14:20:24 [22/1225] acc: 84.7% | 64s | ETA: 59min
14:21:26 [34/1225] acc: 82.7% | 127s | ETA: 74min
14:22:32 [45/1225] acc: 82.5% | 192s | ETA: 84min
14:23:36 [56/1225] acc: 81.0% | 256s | ETA: 89min
14:24:39 [63/1225] acc: 78.4% | 319s | ETA: 98min
14:25:47 [75/1225] acc: 75.8% | 388s | ETA: 99min
14:26:50 [86/1225] acc: 77.9% | 450s | ETA: 99min
14:27:52 [95/1225] acc: 76.8% | 512s | ETA: 101min
14:29:00 [103/1225] acc: 73.5% | 580s | ETA: 105min
14:30:00 [111/1225] acc: 73.3% | 641s | ETA: 107min
14:31:01 [119/1225] acc: 71.3% | 701s | ETA: 109min
14:32:09 [127/1225] acc: 68.4% | 769s | ETA: 111min
14:33:17 [135/1225] acc: 65.8% | 838s | ETA: 113min
14:34:18 [142/1225] acc: 64.2% | 898s | ETA: 114min
14:35:25 [150/1225] acc: 62.1% | 965s | ETA: 115min
14:36:27 [157/1225] acc: 60.4% | 1028s | ETA: 116min
14:37:28 [164/1225] acc: 58.9% | 1089s | ETA: 117min
14:38:28 [171/1225] acc: 57.8% | 1149s | ETA: 118min
14:39:37 [179/1225] acc: 58.6% | 1217s | ETA: 119min
14:40:38 [186/1225] acc: 59.2% | 1278s | ETA: 119min
14:41:46 [194/1225] acc: 59.9% | 1346s | ETA: 119min
14:42:48 [201/1225] acc: 60.4% | 1408s | ETA: 120min
14:43:54 [208/1225] acc: 60.9% | 1474s | ETA: 120min
14:44:54 [215/1225] acc: 61.3% | 1534s | ETA: 120min
14:45:54 [222/1225] acc: 61.8% | 1595s | ETA: 120min
14:46:57 [229/1225] acc: 62.3% | 1658s | ETA: 120min
14:48:02 [235/1225] acc: 62.6% | 1723s | ETA: 121min
14:49:04 [242/1225] acc: 63.0% | 1784s | ETA: 121min
14:50:11 [250/1225] acc: 63.2% | 1851s | ETA: 120min
14:51:14 [257/1225] acc: 63.6% | 1914s | ETA: 120min
14:52:17 [264/1225] acc: 63.9% | 1977s | ETA: 120min
14:53:20 [271/1225] acc: 64.2% | 2040s | ETA: 120min
14:54:22 [278/1225] acc: 64.4% | 2103s | ETA: 119min
14:55:24 [285/1225] acc: 63.5% | 2164s | ETA: 119min
14:56:29 [292/1225] acc: 62.5% | 2229s | ETA: 119min
14:57:29 [299/1225] acc: 61.7% | 2290s | ETA: 118min
14:58:32 [306/1225] acc: 60.8% | 2352s | ETA: 118min
14:59:32 [313/1225] acc: 60.0% | 2412s | ETA: 117min
15:00:34 [321/1225] acc: 59.2% | 2475s | ETA: 116min
15:01:34 [328/1225] acc: 58.4% | 2535s | ETA: 116min
15:02:34 [335/1225] acc: 57.7% | 2595s | ETA: 115min
15:03:35 [342/1225] acc: 57.1% | 2656s | ETA: 114min
15:04:38 [349/1225] acc: 56.4% | 2718s | ETA: 114min
15:05:38 [356/1225] acc: 55.8% | 2779s | ETA: 113min
15:06:47 [364/1225] acc: 55.1% | 2847s | ETA: 112min
15:07:55 [372/1225] acc: 54.5% | 2915s | ETA: 111min
15:09:03 [380/1225] acc: 53.8% | 2984s | ETA: 111min
15:10:06 [388/1225] acc: 53.3% | 3047s | ETA: 110min
15:11:14 [396/1225] acc: 52.7% | 3114s | ETA: 109min
15:12:14 [403/1225] acc: 52.3% | 3174s | ETA: 108min
15:13:15 [410/1225] acc: 51.9% | 3235s | ETA: 107min
15:14:15 [417/1225] acc: 51.4% | 3296s | ETA: 106min
15:15:20 [425/1225] acc: 51.1% | 3361s | ETA: 105min
15:16:22 [432/1225] acc: 50.7% | 3422s | ETA: 105min
15:17:23 [439/1225] acc: 50.3% | 3484s | ETA: 104min
15:18:25 [446/1225] acc: 49.9% | 3546s | ETA: 103min
15:19:34 [454/1225] acc: 49.4% | 3614s | ETA: 102min
15:20:40 [462/1225] acc: 49.0% | 3681s | ETA: 101min
15:21:44 [469/1225] acc: 48.6% | 3744s | ETA: 101min
